Animal_ID,Tank,Rack,DOB,Cohort,Environmental_Condition,Sex,Lineage,Transgenic_Line,Experimental_Holds,Species,Protocol_Number,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet
SAL_345,B1,Rack 6,,,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_346,B1,Rack 6,,,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_347,B1,Rack 6,,,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_348,B1,Rack 6,,,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_349,B1,Rack 6,,,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_350,B1,Rack 6,,,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_351,B1,Rack 6,,,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_352,B1,Rack 6,,,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_353,B1,Rack 6,,,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_354,B1,Rack 6,,,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_355,B2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_356,B2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_357,B2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_358,B2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_359,B2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_360,B2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_361,B2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_362,B2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_363,B3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_364,B3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_365,B3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_366,B3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_367,B3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_368,B3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_369,B3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_370,B3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_371,B4,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_372,B4,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_373,B4,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_374,B4,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_375,B4,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_376,B4,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_377,B5,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_378,B5,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_379,B5,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_380,B5,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_381,C1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_382,C1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_383,C1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_384,C1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_385,C1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_386,C1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_387,C1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_388,C1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_389,C2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_390,C2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_391,C2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_392,C2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_393,C2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_394,C2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_395,C2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_396,C2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_397,C3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,
SAL_398,C3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,
SAL_399,C3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,
SAL_400,C3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,
SAL_401,C3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,
SAL_402,C3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,
SAL_403,C3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,
SAL_404,C3,Rack 6,11/24/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,,,,,
SAL_405,C4,Rack 6,4/15/24 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,Ad pbase ,,,,
SAL_406,D1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_407,D1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_408,D1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_409,D1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_410,D1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_411,D1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_412,D1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_413,D1,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_414,D2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_415,D2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_416,D2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_417,D2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_418,D2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_419,D2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_420,D2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_421,D2,Rack 6,11/24/23 0:00,,Aquatic,Unknown,F1,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_422,B1,Rack 6,12/9/23 0:00,Fake,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_423,D3,Rack 6,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_424,D3,Rack 6,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_425,D3,Rack 6,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_426,D3,Rack 6,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_427,D3,Rack 6,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_428,D3,Rack 6,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_429,D3,Rack 6,12/9/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_430,D4,Rack 6,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_431,D4,Rack 6,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_432,D4,Rack 6,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_433,D4,Rack 6,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_434,D4,Rack 6,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_435,D4,Rack 6,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_436,D5,Rack 6,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_437,D5,Rack 6,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_438,D5,Rack 6,11/24/23 0:00,Viral,Aquatic,Unknown,,WT,LX,Pleurodeles waltl,AABL1550,LX PHPeB CAG G8s Viral,,,,
SAL_439,A1,Rack 8,12/18/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,AOG ,,,,
SAL_440,A1,Rack 8,12/18/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,AOG ,,,,
SAL_441,A1,Rack 8,12/18/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,AOG ,,,,
SAL_442,A1,Rack 8,12/18/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,AOG ,,,,
SAL_443,A5,Rack 8,12/9/23 0:00,,Aquatic,Unknown,,WT,AOG,Pleurodeles waltl,AABI2617,AOG ,,,,
SAL_444,B1,Rack 8,12/9/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,
SAL_445,B1,Rack 8,12/9/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,
SAL_446,B1,Rack 8,12/9/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,
SAL_447,B1,Rack 8,12/9/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,
SAL_448,B1,Rack 8,12/9/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,
SAL_449,B2,Rack 8,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,
SAL_450,B2,Rack 8,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,
SAL_451,B2,Rack 8,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,
SAL_452,B2,Rack 8,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,
SAL_453,B2,Rack 8,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,
SAL_454,D3,Rack 8,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_455,D3,Rack 8,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_456,D3,Rack 8,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_457,D3,Rack 8,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_458,D3,Rack 8,11/24/23 0:00,,Aquatic,Unknown,,WT,JW AMMM histology,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_459,B4,Rack 2,11/24/23 0:00,Fake,Aquatic,Unknown,,WT,DNE fake placeholder,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_460,C1,Rack 9,4/15/24 0:00,,Aquatic,Unknown,,WT,AOG ,Pleurodeles waltl,AABI2617,Regen,,,,
SAL_461,B2,Rack 4,5/17/24 0:00,EdU,Aquatic,Unknown,,WT,AMMM TGZ Edu,Pleurodeles waltl,AABL1550,Edu,,,,
SAL_462,B2,Rack 4,5/17/24 0:00,EdU,Aquatic,Unknown,,WT,AMMM TGZ Edu,Pleurodeles waltl,AABL1550,Edu,,,,
SAL_463,B2,Rack 4,5/17/24 0:00,EdU,Aquatic,Unknown,,WT,AMMM TGZ Edu,Pleurodeles waltl,AABL1550,Edu,,,,
SAL_464,B2,Rack 4,5/17/24 0:00,EdU,Aquatic,Unknown,,WT,AMMM TGZ Edu,Pleurodeles waltl,AABL1550,Edu,,,,
SAL_465,B2,Rack 4,5/17/24 0:00,EdU,Aquatic,Unknown,,WT,AMMM TGZ Edu,Pleurodeles waltl,AABL1550,Edu,,,,
SAL_466,B2,Rack 4,5/17/24 0:00,EdU,Aquatic,Unknown,,WT,AMMM TGZ Edu,Pleurodeles waltl,AABL1550,Edu,,,,
SAL_467,B3,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_468,B3,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_469,B3,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_470,B3,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_471,B3,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_472,C1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_473,C1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_474,C1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_475,C1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_476,C1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_477,C1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_478,C1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_479,D1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AOG Adult neuro,Pleurodeles waltl,AABI2617,,,,,
SAL_480,D1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AOG Adult neuro,Pleurodeles waltl,AABI2617,,,,,
SAL_481,D1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AOG Adult neuro,Pleurodeles waltl,AABI2617,,,,,
SAL_482,D1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AOG Adult neuro,Pleurodeles waltl,AABI2617,,,,,
SAL_483,D1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AOG Adult neuro,Pleurodeles waltl,AABI2617,,,,,
SAL_484,D1,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AOG Adult neuro,Pleurodeles waltl,AABI2617,,,,,
SAL_485,D3,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AMMM TGZ,Pleurodeles waltl,AABL1550,,,,,
SAL_486,D3,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AMMM TGZ,Pleurodeles waltl,AABL1550,,,,,
SAL_487,D3,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AMMM TGZ,Pleurodeles waltl,AABL1550,,,,,
SAL_488,D3,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AMMM TGZ,Pleurodeles waltl,AABL1550,,,,,
SAL_489,D3,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AMMM TGZ,Pleurodeles waltl,AABL1550,,,,,
SAL_490,D3,Rack 4,5/17/24 0:00,,Aquatic,Unknown,,WT,AMMM TGZ,Pleurodeles waltl,AABL1550,,,,,
SAL_491,B4,Rack 2,5/17/24 0:00,Fake,Aquatic,Unknown,,WT,DNE Fake Placeholder,Pleurodeles waltl,AABL1550,,,,,
SAL_492,A4,Rack 5,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_493,A4,Rack 5,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_494,A4,Rack 5,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_495,A4,Rack 5,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_496,A4,Rack 5,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_497,A4,Rack 5,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_498,A4,Rack 5,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_499,C3,Rack 9,5/17/24 0:00,,Aquatic,Unknown,,WT,Priority to use ,Pleurodeles waltl,AABF2564,Slow growers,,,,
SAL_500,C3,Rack 9,5/17/24 0:00,,Aquatic,Unknown,,WT,Priority to use ,Pleurodeles waltl,AABF2564,Slow growers,,,,
SAL_501,C3,Rack 9,5/17/24 0:00,,Aquatic,Unknown,,WT,Priority to use ,Pleurodeles waltl,AABF2564,Slow growers,,,,
SAL_502,C3,Rack 9,5/17/24 0:00,,Aquatic,Unknown,,WT,Priority to use ,Pleurodeles waltl,AABF2564,Slow growers,,,,
SAL_503,C4,Rack 9,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_504,C4,Rack 9,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_505,C4,Rack 9,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_506,C4,Rack 9,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_507,C4,Rack 9,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_508,C4,Rack 9,5/17/24 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_509,A1,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_510,A1,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_511,A1,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_512,A1,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_513,A1,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_514,A1,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_515,A2,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_516,A2,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_517,A2,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_518,A2,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_519,A2,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_520,A3,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_521,A3,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_522,A3,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_523,A3,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_524,A3,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_525,A4,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_526,A4,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_527,A4,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_528,A4,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_529,A4,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_530,A4,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_531,A4,Rack 1,7/1/22 0:00,,Aquatic,Unknown,Sweden,hsyn-GFP,,Pleurodeles waltl,AABF2564,,,,,
SAL_532,B1,Rack 1,9/1/23 0:00,,Aquatic,Unknown,Sweden,hsyn-GCaMP6s,LX St Jude,Pleurodeles waltl,AABL1550,,,,,
